 -- Frame 236 Framerate: 43.2 [Very Good Framerate]
 -- Frame 237 Framerate: 33.9 [Good Framerate]
 -- Frame 238 Framerate: 19.5 [Low Framerate]
 -- Frame 239 Framerate: 35.7 [Good Framerate]
 -- Frame 240 Framerate: 25.3 [Good Framerate]
 -- Frame 241 Framerate: 28.7 [Good Framerate]
 -- Frame 242 Framerate: 31.9 [Good Framerate]
 -- Frame 243 Framerate: 37.2 [Good Framerate]
 -- Frame 244 Framerate: 27.5 [Good Framerate]
 -- Frame 245 Framerate: 25.8 [Good Framerate]
 -- Frame 246 Framerate: 29.4 [Good Framerate]
 -- Frame 247 Framerate: 27.6 [Good Framerate]
 -- Frame 248 Framerate: 28.5 [Good Framerate]
 -- Frame 249 Framerate: 31.1 [Good Framerate]
 -- Frame 250 Framerate: 27.0 [Good Framerate]
 -- Frame 251 Framerate: 33.1 [Good Framerate]
 -- Frame 252 Framerate: 19.1 [Low Framerate]
 -- Frame 253 Framerate: 36.5 [Good Framerate]
 -- Frame 254 Framerate: 20.1 [Okay Framerate]
 -- Frame 255 Framerate: 28.6 [Good Framerate]
 -- Frame 256 Framerate: 30.5 [Good Framerate]
 -- Frame 257 Framerate: 28.4 [Good Framerate]
 -- Frame 258 Framerate: 32.8 [Good Framerate]
 -- Frame 259 Framerate: 19.7 [Low Framerate]
 -- Frame 260 Framerate: 29.9 [Good Framerate]
 -- Frame 261 Framerate: 33.5 [Good Framerate]
 -- Frame 262 Framerate: 20.4 [Okay Framerate]
 -- Frame 263 Framerate: 33.4 [Good Framerate]
 -- Frame 264 Framerate: 18.5 [Low Framerate]
 -- Frame 265 Framerate: 29.9 [Good Framerate]
 -- Frame 266 Framerate: 22.6 [Okay Framerate]
 -- Frame 267 Framerate: 24.3 [Okay Framerate]
 -- Frame 268 Framerate: 29.0 [Good Framerate]
 -- Frame 269 Framerate: 31.4 [Good Framerate]
 -- Frame 270 Framerate: 39.9 [Good Framerate]
 -- Frame 271 Framerate: 20.5 [Okay Framerate]
 -- Frame 272 Framerate: 42.0 [Very Good Framerate]
 -- Frame 273 Framerate: 22.1 [Okay Framerate]
 -- Frame 274 Framerate: 21.7 [Okay Framerate]
 -- Frame 275 Framerate: 22.8 [Okay Framerate]
 -- Frame 276 Framerate: 27.8 [Good Framerate]
 -- Frame 277 Framerate: 33.8 [Good Framerate]
 -- Frame 278 Framerate: 20.3 [Okay Framerate]
 -- Frame 279 Framerate: 40.5 [Very Good Framerate]
 -- Frame 280 Framerate: 26.4 [Good Framerate]
 -- Frame 281 Framerate: 31.1 [Good Framerate]
 -- Frame 282 Framerate: 31.3 [Good Framerate]
 -- Frame 283 Framerate: 40.5 [Very Good Framerate]
 -- Frame 284 Framerate: 22.3 [Okay Framerate]
 -- Frame 285 Framerate: 20.9 [Okay Framerate]
 -- Frame 286 Framerate: 36.1 [Good Framerate]
 -- Frame 287 Framerate: 19.5 [Low Framerate]
 -- Frame 288 Framerate: 38.1 [Good Framerate]
 -- Frame 289 Framerate: 20.4 [Okay Framerate]
 -- Frame 290 Framerate: 32.6 [Good Framerate]
 -- Frame 291 Framerate: 27.8 [Good Framerate]
 -- Frame 292 Framerate: 27.1 [Good Framerate]
 -- Frame 293 Framerate: 33.7 [Good Framerate]
 -- Frame 294 Framerate: 23.5 [Okay Framerate]
 -- Frame 295 Framerate: 24.2 [Okay Framerate]
 -- Frame 296 Framerate: 30.6 [Good Framerate]
 -- Frame 297 Framerate: 31.9 [Good Framerate]
 -- Frame 298 Framerate: 30.9 [Good Framerate]
 -- Frame 299 Framerate: 46.6 [Very Good Framerate]
 -- Frame 300 Framerate: 30.4 [Good Framerate]
 -- Frame 301 Framerate: 35.4 [Good Framerate]
 -- Frame 302 Framerate: 23.7 [Okay Framerate]
 -- Frame 303 Framerate: 23.4 [Okay Framerate]
 -- Frame 304 Framerate: 28.9 [Good Framerate]
 -- Frame 305 Framerate: 34.2 [Good Framerate]
 -- Frame 306 Framerate: 22.9 [Okay Framerate]
