 -- Frame 261 Framerate: 20.4 [Okay Framerate]
 -- Frame 262 Framerate: 19.0 [Low Framerate]
 -- Frame 263 Framerate: 18.4 [Low Framerate]
 -- Frame 264 Framerate: 22.1 [Okay Framerate]
 -- Frame 265 Framerate: 20.6 [Okay Framerate]
 -- Frame 266 Framerate: 13.6 [Low Framerate]
 -- Frame 267 Framerate: 21.9 [Okay Framerate]
 -- Frame 268 Framerate: 19.9 [Low Framerate]
 -- Frame 269 Framerate: 22.2 [Okay Framerate]
 -- Frame 270 Framerate: 21.0 [Okay Framerate]
 -- Frame 271 Framerate: 18.0 [Low Framerate]
 -- Frame 272 Framerate: 19.2 [Low Framerate]
 -- Frame 273 Framerate: 20.0 [Okay Framerate]
 -- Frame 274 Framerate: 20.3 [Okay Framerate]
 -- Frame 275 Framerate: 17.7 [Low Framerate]
 -- Frame 276 Framerate: 20.1 [Okay Framerate]
 -- Frame 277 Framerate: 20.1 [Okay Framerate]
 -- Frame 278 Framerate: 19.9 [Low Framerate]
 -- Frame 279 Framerate: 20.3 [Okay Framerate]
 -- Frame 280 Framerate: 20.4 [Okay Framerate]
 -- Frame 281 Framerate: 20.8 [Okay Framerate]
 -- Frame 282 Framerate: 19.7 [Low Framerate]
 -- Frame 283 Framerate: 18.3 [Low Framerate]
 -- Frame 284 Framerate: 20.1 [Okay Framerate]
 -- Frame 285 Framerate: 18.6 [Low Framerate]
 -- Frame 286 Framerate: 20.1 [Okay Framerate]
 -- Frame 287 Framerate: 21.8 [Okay Framerate]
 -- Frame 288 Framerate: 18.9 [Low Framerate]
 -- Frame 289 Framerate: 21.9 [Okay Framerate]
 -- Frame 290 Framerate: 20.9 [Okay Framerate]
 -- Frame 291 Framerate: 21.0 [Okay Framerate]
 -- Frame 292 Framerate: 20.8 [Okay Framerate]
 -- Frame 293 Framerate: 20.8 [Okay Framerate]
 -- Frame 294 Framerate: 20.1 [Okay Framerate]
 -- Frame 295 Framerate: 20.4 [Okay Framerate]
 -- Frame 296 Framerate: 15.2 [Low Framerate]
 -- Frame 297 Framerate: 21.8 [Okay Framerate]
 -- Frame 298 Framerate: 21.7 [Okay Framerate]
 -- Frame 299 Framerate: 22.3 [Okay Framerate]
 -- Frame 300 Framerate: 18.9 [Low Framerate]
 -- Frame 301 Framerate: 20.0 [Okay Framerate]
 -- Frame 302 Framerate: 20.1 [Okay Framerate]
 -- Frame 303 Framerate: 17.2 [Low Framerate]
 -- Frame 304 Framerate: 20.4 [Okay Framerate]
 -- Frame 305 Framerate: 16.5 [Low Framerate]
